participant_id,ip_explanation
F327w2,"I just looked at the color of eyes and if it was black or white, i had protection"
F353w2,played it risky
U278w2,I chose based off of how likely I would be to guess the correct ball without the hint 
W138w2,"I didn't take protection if I was guranteed an honest gremlin that said it was a white ball, I took protection every other time"
D77w2,I would just base it off of how I felt the chances of getting that color ball was.
Q220w2,If the monster was honest I was choosing no protection. If there was an 2 honest and one white and they said black I also did no protection because the only way it could be black is if honest said it.
B373w2,The strategy I used was first looking at the percent of black and white balls in the given picture. I then would see what hint I was given and make up my mind based on that.
W60w2,i decided how much money i was willing to spend to get a hint or not
N131w2,"I lookd at the hint, if i knew the hint was right then i would follow, if there was a chance it was a lie I looked at the chance the ball was black and played the odds."
L89w2,Using basic principles to multiply the chances to give an approximate percentage 
W164w2,I tried to see a pattern.
J47w2,I took a chance each time
H395w2,"If there was all honest gremlins, I would not protect unless they said the ball is black. If there were white or black gremlins in the mix, I generally chose to protect unless the chances the ball was white were greater than 90%."
O178w2,If there was ever a question I always bought protection because I would rather have 25 dollars than 10.
X341w2,It really depended on how many balls were in the box 
A248w2,anything under 80%. I know what my time is worth and don't want to waste it for $5 unless my return was greater then the odds I would be given. 
W372w2,I would try to think back to what the amount were if i choose protected v.s unprotected. 
K94w2,I would calculate the possibility in my head each task.
W346w2,I decided whether to trust my informed protected based on how many gremlins were present divided by how many gremlins were honest/would say if the ball was white or black. I was more likely to trust the honest gremlins or buy protection for the dishonest gremlins.
C420w2,If I new the odds of the hint gremlin is honest then I would protect baes on the hint they made
H213w2,if it was mainly honest ones and the probability was an 80/20 split i just took my chances 
J125w2,Seeing the probabilities and protentional outcomes were what played a role in decision making.
W112w2,"if it is white never by protection, if it is black always buy protection. There is a higher chance that 1 a ball is white, and 2 that the gremlin is honest so it makes sense "
M396w2,"examine the beasts, then make a decision"
L375w2,"if all the gremlins were honest and said white i would not protect. If all the gremlins were honest and said black i would protect. If the gremlins were honest, honest, black and the hint was white, i knew it was one of the honest gremlins that was giving me the correct answer of white, so i didnt protect."
B139w2,Odds based on the original sample times the odds of the gremlins giving bad info
O204w2,I just thought there would no way the black ball would be chosen if there was only 1 or 2 of them. I was just trusting my guts. 
O334w2,mainly it was for the 70/30 i reled on the hits if it was black to think what are the changes it is realy black and if do then buy the protection. often it was more favored of the white being true to dont need the protection
C368w2,"If all the Grimmlies where honest I did not use protection, if they weren't I used protection. "
V429w2,"I first looked at the chance and if it was 90% white 10% black, I probably didn't buy protection or 50 cents at most. Then, I looked at the gremlin and if they were only honest ones I was willing to pay up to $2. If there were white/black gremlins and there was a high chance of black balls I figured I would pay up to $1 just incase. "
G244w2,GAMBLING
F119w2,So the strategy that I used are to look at the box and see how many honest gremlin there were and decide if I wanted to protect or not. 
Q350w2,I didn't realize it told me my odds of the balls at the top of the screen so i went based off of the gremlins i had again. I got a lot of honest gremlins so anytime i had a white or black one because i never had both in on grouping it was normally 2 honest or like 4 honest and 1 black or white gremlin so then i would go off of the answer that was opposite of what the white or black gremlin was cause how could it tell me if the answer was a color it couldn't see.
I390w2,I just guessed based on probability. 
E306w2,"every time it was all honest gremlins I never used protection, but after that I based my answers off the percentage of the white ball being drawn."
K250w2,not needed unless over 50%
W294w2,always buy protection for guranteed money
B295w2,"if they were honest gremlins i said what they said, if there was a smaller amount of gremlins i would pay for protection but iuf there was a larger amount of gremlins i would put both as not paying for protectin"
V247w2,I would measure the chances that the hint would be useful in addition to the actual percentage that the ball would be a certain color
